Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,0,0,NoInitialNodes,True,506.13
instances\TV\eil22_50.csv,0,0,DistancePriority,True,477.35
instances\TV\eil22_50.csv,0,0,DemandPriority,True,477.35
instances\TV\eil22_50.csv,1,0,NoInitialNodes,True,488.19
instances\TV\eil22_50.csv,1,0,DistancePriority,True,461.68
instances\TV\eil22_50.csv,1,0,DemandPriority,True,461.68
instances\TV\eil22_50.csv,2,0,NoInitialNodes,True,488.19
instances\TV\eil22_50.csv,2,0,DistancePriority,True,477.35
instances\TV\eil22_50.csv,2,0,DemandPriority,True,477.35
instances\TV\eil22_50.csv,3,0,NoInitialNodes,True,480.25
instances\TV\eil22_50.csv,3,0,DistancePriority,True,516.5
instances\TV\eil22_50.csv,3,0,DemandPriority,True,516.5
instances\TV\eil22_50.csv,4,0,NoInitialNodes,True,547.49
instances\TV\eil22_50.csv,4,0,DistancePriority,True,516.5
instances\TV\eil22_50.csv,4,0,DemandPriority,True,516.5
instances\TV\eil22_50.csv,5,0,NoInitialNodes,True,547.49
instances\TV\eil22_50.csv,5,0,DistancePriority,True,516.5
instances\TV\eil22_50.csv,5,0,DemandPriority,True,516.5
instances\TV\eil22_50.csv,6,0,NoInitialNodes,True,538.84
instances\TV\eil22_50.csv,6,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,6,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,7,0,NoInitialNodes,True,538.84
instances\TV\eil22_50.csv,7,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,7,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,8,0,NoInitialNodes,True,547.49
instances\TV\eil22_50.csv,8,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,8,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,9,0,NoInitialNodes,True,519.0
instances\TV\eil22_50.csv,9,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,9,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,10,0,NoInitialNodes,True,538.84
instances\TV\eil22_50.csv,10,0,DistancePriority,True,461.68
instances\TV\eil22_50.csv,10,0,DemandPriority,True,461.68
instances\TV\eil22_50.csv,11,0,NoInitialNodes,True,506.13
instances\TV\eil22_50.csv,11,0,DistancePriority,True,461.68
instances\TV\eil22_50.csv,11,0,DemandPriority,True,461.68
instances\TV\eil22_50.csv,12,0,NoInitialNodes,True,519.0
instances\TV\eil22_50.csv,12,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,12,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,13,0,NoInitialNodes,True,547.49
instances\TV\eil22_50.csv,13,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,13,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,14,0,NoInitialNodes,True,480.25
instances\TV\eil22_50.csv,14,0,DistancePriority,True,516.5
instances\TV\eil22_50.csv,14,0,DemandPriority,True,516.5
instances\TV\eil22_50.csv,15,0,NoInitialNodes,True,538.84
instances\TV\eil22_50.csv,15,0,DistancePriority,True,441.11
instances\TV\eil22_50.csv,15,0,DemandPriority,True,441.11
instances\TV\eil22_50.csv,16,0,NoInitialNodes,True,519.0
instances\TV\eil22_50.csv,16,0,DistancePriority,True,516.5
instances\TV\eil22_50.csv,16,0,DemandPriority,True,516.5
instances\TV\eil22_50.csv,17,0,NoInitialNodes,True,547.49
instances\TV\eil22_50.csv,17,0,DistancePriority,True,477.35
instances\TV\eil22_50.csv,17,0,DemandPriority,True,477.35
instances\TV\eil22_50.csv,18,0,NoInitialNodes,True,480.25
instances\TV\eil22_50.csv,18,0,DistancePriority,True,516.5
instances\TV\eil22_50.csv,18,0,DemandPriority,True,516.5
instances\TV\eil22_50.csv,19,0,NoInitialNodes,True,488.19
instances\TV\eil22_50.csv,19,0,DistancePriority,True,477.35
instances\TV\eil22_50.csv,19,0,DemandPriority,True,477.35
instances\TV\eil22_50.csv,0,0.1,NoInitialNodes,True,510.68
instances\TV\eil22_50.csv,0,0.1,DistancePriority,True,525.85
instances\TV\eil22_50.csv,0,0.1,DemandPriority,True,510.16
instances\TV\eil22_50.csv,1,0.1,NoInitialNodes,True,544.91
instances\TV\eil22_50.csv,1,0.1,DistancePriority,True,562.5
instances\TV\eil22_50.csv,1,0.1,DemandPriority,True,544.73
instances\TV\eil22_50.csv,2,0.1,NoInitialNodes,True,504.84
instances\TV\eil22_50.csv,2,0.1,DistancePriority,True,585.15
instances\TV\eil22_50.csv,2,0.1,DemandPriority,True,581.58
instances\TV\eil22_50.csv,3,0.1,NoInitialNodes,True,478.63
instances\TV\eil22_50.csv,3,0.1,DistancePriority,True,492.34
instances\TV\eil22_50.csv,3,0.1,DemandPriority,True,526.99
instances\TV\eil22_50.csv,4,0.1,NoInitialNodes,True,515.21
instances\TV\eil22_50.csv,4,0.1,DistancePriority,True,555.44
instances\TV\eil22_50.csv,4,0.1,DemandPriority,True,608.9
instances\TV\eil22_50.csv,5,0.1,NoInitialNodes,True,490.98
instances\TV\eil22_50.csv,5,0.1,DistancePriority,True,566.18
instances\TV\eil22_50.csv,5,0.1,DemandPriority,True,593.72
instances\TV\eil22_50.csv,6,0.1,NoInitialNodes,True,548.84
instances\TV\eil22_50.csv,6,0.1,DistancePriority,True,508.96
instances\TV\eil22_50.csv,6,0.1,DemandPriority,True,479.17
instances\TV\eil22_50.csv,7,0.1,NoInitialNodes,True,487.11
instances\TV\eil22_50.csv,7,0.1,DistancePriority,True,599.46
instances\TV\eil22_50.csv,7,0.1,DemandPriority,True,525.16
instances\TV\eil22_50.csv,8,0.1,NoInitialNodes,True,483.55
instances\TV\eil22_50.csv,8,0.1,DistancePriority,True,589.7
instances\TV\eil22_50.csv,8,0.1,DemandPriority,True,582.2
instances\TV\eil22_50.csv,9,0.1,NoInitialNodes,True,546.72
instances\TV\eil22_50.csv,9,0.1,DistancePriority,True,517.85
instances\TV\eil22_50.csv,9,0.1,DemandPriority,True,527.84
instances\TV\eil22_50.csv,10,0.1,NoInitialNodes,True,571.02
instances\TV\eil22_50.csv,10,0.1,DistancePriority,True,533.98
instances\TV\eil22_50.csv,10,0.1,DemandPriority,True,514.31
