Inst,First,Feasible,Of
instances\TV\eil22_50.csv,linehauls,True,538.84
instances\TV\eil22_50.csv,both,True,629.11
instances\TV\eil22_66.csv,linehauls,True,499.25
instances\TV\eil22_66.csv,both,False,508.07
instances\TV\eil22_80.csv,linehauls,True,488.57
instances\TV\eil22_80.csv,both,True,530.07
instances\TV\eil23_50.csv,linehauls,True,806.07
instances\TV\eil23_50.csv,both,True,784.73
instances\TV\eil23_66.csv,linehauls,True,682.11
instances\TV\eil23_66.csv,both,True,734.48
instances\TV\eil23_80.csv,linehauls,True,819.55
instances\TV\eil23_80.csv,both,True,783.83
instances\TV\eil30_50.csv,linehauls,True,674.73
instances\TV\eil30_50.csv,both,True,641.12
instances\TV\eil30_66.csv,linehauls,True,705.6
instances\TV\eil30_66.csv,both,True,852.06
instances\TV\eil30_80.csv,linehauls,True,675.11
instances\TV\eil30_80.csv,both,True,786.79
instances\TV\eil33_50.csv,linehauls,True,1025.5
instances\TV\eil33_50.csv,both,True,946.75
instances\TV\eil33_66.csv,linehauls,True,915.16
instances\TV\eil33_66.csv,both,True,970.14
instances\TV\eil33_80.csv,linehauls,False,752.14
instances\TV\eil33_80.csv,both,False,940.43
instances\TV\eil51_50.csv,linehauls,True,698.09
instances\TV\eil51_50.csv,both,True,774.58
instances\TV\eil51_66.csv,linehauls,True,695.04
instances\TV\eil51_66.csv,both,True,750.45
instances\TV\eil51_80.csv,linehauls,True,744.21
instances\TV\eil51_80.csv,both,True,758.03
instances\TV\eilA101_50.csv,linehauls,True,1197.46
instances\TV\eilA101_50.csv,both,True,1232.48
instances\TV\eilA101_66.csv,linehauls,True,1137.9
instances\TV\eilA101_66.csv,both,True,1354.99
instances\TV\eilA101_80.csv,linehauls,False,934.47
instances\TV\eilA101_80.csv,both,False,1204.02
instances\TV\eilA76_50.csv,linehauls,True,1015.76
instances\TV\eilA76_50.csv,both,True,1085.05
instances\TV\eilA76_66.csv,linehauls,True,1159.31
instances\TV\eilA76_66.csv,both,True,1295.35
instances\TV\eilA76_80.csv,linehauls,False,898.52
instances\TV\eilA76_80.csv,both,True,1029.74
instances\TV\eilB101_50.csv,linehauls,False,783.71
instances\TV\eilB101_50.csv,both,True,1461.66
instances\TV\eilB101_66.csv,linehauls,False,997.39
instances\TV\eilB101_66.csv,both,False,1448.23
instances\TV\eilB101_80.csv,linehauls,True,1414.52
instances\TV\eilB101_80.csv,both,True,1512.3
instances\TV\eilB76_50.csv,linehauls,True,1254.62
instances\TV\eilB76_50.csv,both,True,1183.52
instances\TV\eilB76_66.csv,linehauls,True,1196.34
instances\TV\eilB76_66.csv,both,True,1383.66
instances\TV\eilB76_80.csv,linehauls,True,1157.58
instances\TV\eilB76_80.csv,both,True,1281.73
instances\TV\eilC76_50.csv,linehauls,True,967.74
instances\TV\eilC76_50.csv,both,True,1189.05
instances\TV\eilC76_66.csv,linehauls,True,1075.16
instances\TV\eilC76_66.csv,both,True,1123.28
instances\TV\eilC76_80.csv,linehauls,True,1060.03
instances\TV\eilC76_80.csv,both,True,1105.44
instances\TV\eilD76_50.csv,linehauls,True,929.61
instances\TV\eilD76_50.csv,both,True,1020.59
instances\TV\eilD76_66.csv,linehauls,True,1079.87
instances\TV\eilD76_66.csv,both,True,1057.71
instances\TV\eilD76_80.csv,linehauls,True,887.68
instances\TV\eilD76_80.csv,both,True,1041.51
instances\GJ\A1.csv,linehauls,True,298715.92
instances\GJ\A1.csv,both,True,332753.39
instances\GJ\A2.csv,linehauls,True,253997.04
instances\GJ\A2.csv,both,True,242354.68
instances\GJ\A3.csv,linehauls,True,219367.39
instances\GJ\A3.csv,both,True,206062.44
instances\GJ\A4.csv,linehauls,True,219367.39
instances\GJ\A4.csv,both,True,206062.44
instances\GJ\B1.csv,linehauls,True,303253.9
instances\GJ\B1.csv,both,True,319163.96
instances\GJ\B2.csv,linehauls,True,253111.98
instances\GJ\B2.csv,both,True,268670.49
instances\GJ\B3.csv,linehauls,True,246157.18
instances\GJ\B3.csv,both,True,256744.41
instances\GJ\C1.csv,linehauls,True,335149.63
instances\GJ\C1.csv,both,True,315303.37
instances\GJ\C2.csv,linehauls,True,312666.35
instances\GJ\C2.csv,both,True,330557.44
instances\GJ\C3.csv,linehauls,True,274552.27
instances\GJ\C3.csv,both,True,294376.86
instances\GJ\C4.csv,linehauls,True,274552.27
instances\GJ\C4.csv,both,True,294376.86
instances\GJ\D1.csv,linehauls,True,422899.86
instances\GJ\D1.csv,both,True,472920.81
instances\GJ\D2.csv,linehauls,True,422899.86
instances\GJ\D2.csv,both,True,472920.81
instances\GJ\D3.csv,linehauls,True,291532.99
instances\GJ\D3.csv,both,True,329003.59
instances\GJ\D4.csv,linehauls,True,266566.55
instances\GJ\D4.csv,both,True,291111.1
instances\GJ\E1.csv,linehauls,True,348791.23
instances\GJ\E1.csv,both,True,389864.95
instances\GJ\E2.csv,linehauls,True,264981.75
instances\GJ\E2.csv,both,True,310250.29
instances\GJ\E3.csv,linehauls,True,278780.83
instances\GJ\E3.csv,both,True,336192.91
instances\GJ\F1.csv,linehauls,True,400125.26
instances\GJ\F1.csv,both,True,380669.28
instances\GJ\F2.csv,linehauls,True,400125.26
instances\GJ\F2.csv,both,True,380669.28
instances\GJ\F3.csv,linehauls,True,361103.26
instances\GJ\F3.csv,both,True,339988.43
instances\GJ\F4.csv,linehauls,True,331938.15
instances\GJ\F4.csv,both,True,320221.3
instances\GJ\G1.csv,linehauls,True,375686.09
instances\GJ\G1.csv,both,True,438141.39
instances\GJ\G2.csv,linehauls,True,358026.4
instances\GJ\G2.csv,both,True,343798.15
instances\GJ\G3.csv,linehauls,True,292364.88
instances\GJ\G3.csv,both,True,333557.55
instances\GJ\G4.csv,linehauls,True,292364.88
instances\GJ\G4.csv,both,True,333557.55
instances\GJ\G5.csv,linehauls,True,276654.71
instances\GJ\G5.csv,both,True,324798.01
instances\GJ\G6.csv,linehauls,True,285769.23
instances\GJ\G6.csv,both,True,340538.42
instances\GJ\H1.csv,linehauls,True,428462.75
