Inst,Initial,Feasible,Of
instances\TV\eil22_50.csv,False,True,538.84
instances\TV\eil22_50.csv,True,True,516.37
instances\TV\eil22_66.csv,False,True,499.25
instances\TV\eil22_66.csv,True,False,294.24
instances\TV\eil22_80.csv,False,True,488.57
instances\TV\eil22_80.csv,True,True,498.88
instances\TV\eil23_50.csv,False,True,806.07
instances\TV\eil23_50.csv,True,True,790.65
instances\TV\eil23_66.csv,False,True,682.11
instances\TV\eil23_66.csv,True,True,660.58
instances\TV\eil23_80.csv,False,True,819.55
instances\TV\eil23_80.csv,True,True,748.49
instances\TV\eil30_50.csv,False,True,674.73
instances\TV\eil30_50.csv,True,True,638.13
instances\TV\eil30_66.csv,False,True,705.6
instances\TV\eil30_66.csv,True,True,609.11
instances\TV\eil30_80.csv,False,True,675.11
instances\TV\eil30_80.csv,True,True,566.2
instances\TV\eil33_50.csv,False,True,1025.5
instances\TV\eil33_50.csv,True,True,956.37
instances\TV\eil33_66.csv,False,True,915.16
instances\TV\eil33_66.csv,True,True,935.78
instances\TV\eil33_80.csv,False,False,752.14
instances\TV\eil33_80.csv,True,False,807.37
instances\TV\eil51_50.csv,False,True,698.09
instances\TV\eil51_50.csv,True,True,701.17
instances\TV\eil51_66.csv,False,True,695.04
instances\TV\eil51_66.csv,True,True,630.98
instances\TV\eil51_80.csv,False,True,744.21
instances\TV\eil51_80.csv,True,True,725.58
instances\TV\eilA101_50.csv,False,True,1197.46
instances\TV\eilA101_50.csv,True,True,1287.73
instances\TV\eilA101_66.csv,False,True,1137.9
instances\TV\eilA101_66.csv,True,True,1097.03
instances\TV\eilA101_80.csv,False,False,934.47
instances\TV\eilA101_80.csv,True,False,793.06
instances\TV\eilA76_50.csv,False,True,1015.76
instances\TV\eilA76_50.csv,True,True,966.47
instances\TV\eilA76_66.csv,False,True,1159.31
instances\TV\eilA76_66.csv,True,True,1049.29
instances\TV\eilA76_80.csv,False,False,898.52
instances\TV\eilA76_80.csv,True,False,846.98
instances\TV\eilB101_50.csv,False,False,783.71
instances\TV\eilB101_50.csv,True,False,742.38
instances\TV\eilB101_66.csv,False,False,997.39
instances\TV\eilB101_66.csv,True,False,979.55
instances\TV\eilB101_80.csv,False,True,1414.52
instances\TV\eilB101_80.csv,True,True,1312.33
instances\TV\eilB76_50.csv,False,True,1254.62
instances\TV\eilB76_50.csv,True,True,1064.52
instances\TV\eilB76_66.csv,False,True,1196.34
instances\TV\eilB76_66.csv,True,True,1311.14
instances\TV\eilB76_80.csv,False,True,1157.58
instances\TV\eilB76_80.csv,True,True,1215.67
instances\TV\eilC76_50.csv,False,True,967.74
instances\TV\eilC76_50.csv,True,True,996.95
instances\TV\eilC76_66.csv,False,True,1075.16
instances\TV\eilC76_66.csv,True,True,1049.42
instances\TV\eilC76_80.csv,False,True,1060.03
instances\TV\eilC76_80.csv,True,True,1026.44
instances\TV\eilD76_50.csv,False,True,929.61
instances\TV\eilD76_50.csv,True,True,894.69
instances\TV\eilD76_66.csv,False,True,1079.87
instances\TV\eilD76_66.csv,True,True,1013.24
instances\TV\eilD76_80.csv,False,True,887.68
instances\TV\eilD76_80.csv,True,True,995.29
instances\GJ\A1.csv,False,True,298715.92
instances\GJ\A1.csv,True,True,276281.62
instances\GJ\A2.csv,False,True,253997.04
instances\GJ\A2.csv,True,True,203762.88
instances\GJ\A3.csv,False,True,219367.39
instances\GJ\A3.csv,True,True,178071.64
instances\GJ\A4.csv,False,True,219367.39
instances\GJ\A4.csv,True,True,216489.85
instances\GJ\B1.csv,False,True,303253.9
instances\GJ\B1.csv,True,True,247373.82
instances\GJ\B2.csv,False,True,253111.98
instances\GJ\B2.csv,True,True,221304.4
instances\GJ\B3.csv,False,True,246157.18
instances\GJ\B3.csv,True,True,213861.55
instances\GJ\C1.csv,False,True,335149.63
instances\GJ\C1.csv,True,True,363075.05
instances\GJ\C2.csv,False,True,312666.35
instances\GJ\C2.csv,True,True,286453.3
instances\GJ\C3.csv,False,True,274552.27
instances\GJ\C3.csv,True,True,234871.06
instances\GJ\C4.csv,False,True,274552.27
instances\GJ\C4.csv,True,True,242450.91
instances\GJ\D1.csv,False,True,422899.86
instances\GJ\D1.csv,True,True,373303.13
instances\GJ\D2.csv,False,True,422899.86
instances\GJ\D2.csv,True,True,353391.47
instances\GJ\D3.csv,False,True,291532.99
instances\GJ\D3.csv,True,True,329986.02
instances\GJ\D4.csv,False,True,266566.55
instances\GJ\D4.csv,True,True,273780.98
instances\GJ\E1.csv,False,True,348791.23
instances\GJ\E1.csv,True,True,337357.52
instances\GJ\E2.csv,False,True,264981.75
instances\GJ\E2.csv,True,True,295073.6
instances\GJ\E3.csv,False,True,278780.83
instances\GJ\E3.csv,True,True,275966.48
instances\GJ\F1.csv,False,True,400125.26
instances\GJ\F1.csv,True,True,393604.78
instances\GJ\F2.csv,False,True,400125.26
instances\GJ\F2.csv,True,True,371791.52
instances\GJ\F3.csv,False,True,361103.26
instances\GJ\F3.csv,True,True,316933.16
instances\GJ\F4.csv,False,True,331938.15
instances\GJ\F4.csv,True,True,343615.93
instances\GJ\G1.csv,False,True,375686.09
instances\GJ\G1.csv,True,True,411623.67
instances\GJ\G2.csv,False,True,358026.4
instances\GJ\G2.csv,True,True,324419.94
instances\GJ\G3.csv,False,True,292364.88
instances\GJ\G3.csv,True,True,315973.82
instances\GJ\G4.csv,False,True,292364.88
instances\GJ\G4.csv,True,True,306422.56
instances\GJ\G5.csv,False,True,276654.71
instances\GJ\G5.csv,True,True,290866.77
instances\GJ\G6.csv,False,True,285769.23
instances\GJ\G6.csv,True,True,304959.22
instances\GJ\H1.csv,False,True,428462.75
instances\GJ\H1.csv,True,True,366852.69
instances\GJ\H2.csv,False,True,327471.07
instances\GJ\H2.csv,True,True,382104.38
instances\GJ\H3.csv,False,True,338192.97
instances\GJ\H3.csv,True,True,338541.2
instances\GJ\H4.csv,False,True,338192.97
instances\GJ\H4.csv,True,True,335993.52
instances\GJ\H5.csv,False,True,317548.14
instances\GJ\H5.csv,True,True,324295.77
instances\GJ\H6.csv,False,True,317548.14
instances\GJ\H6.csv,True,True,329507.21
instances\GJ\I1.csv,False,True,529907.28
instances\GJ\I1.csv,True,True,456809.54
instances\GJ\I2.csv,False,True,494133.32
instances\GJ\I2.csv,True,True,428537.59
instances\GJ\I3.csv,False,True,454393.44
instances\GJ\I3.csv,True,True,413369.7
instances\GJ\I4.csv,False,True,454393.44
instances\GJ\I4.csv,True,True,370351.44
instances\GJ\I5.csv,False,True,454393.44
instances\GJ\I5.csv,True,True,370499.08
instances\GJ\J1.csv,False,True,468716.49
instances\GJ\J1.csv,True,True,473726.55
instances\GJ\J2.csv,False,True,410691.51
instances\GJ\J2.csv,True,True,417003.52
instances\GJ\J3.csv,False,True,377482.63
instances\GJ\J3.csv,True,True,373536.4
instances\GJ\J4.csv,False,True,424173.11
instances\GJ\J4.csv,True,True,417094.72
instances\GJ\K1.csv,False,True,541890.46
instances\GJ\K1.csv,True,True,509075.42
instances\GJ\K2.csv,False,True,515354.56
instances\GJ\K2.csv,True,True,462406.21
instances\GJ\K3.csv,False,True,515354.56
instances\GJ\K3.csv,True,True,485703.03
instances\GJ\K4.csv,False,True,478413.76
instances\GJ\K4.csv,True,True,448091.5
instances\GJ\L1.csv,False,True,704587.54
