Inst,Initial,Feasible,Of
instances\TV\eil22_50.csv,False,True,538.84
instances\TV\eil22_50.csv,True,True,441.11
instances\TV\eil22_66.csv,False,True,499.25
instances\TV\eil22_66.csv,True,False,402.27
instances\TV\eil22_80.csv,False,True,488.57
instances\TV\eil22_80.csv,True,True,493.68
instances\TV\eil23_50.csv,False,True,806.07
instances\TV\eil23_50.csv,True,False,376.99
instances\TV\eil23_66.csv,False,True,682.11
instances\TV\eil23_66.csv,True,False,419.75
instances\TV\eil23_80.csv,False,True,819.55
instances\TV\eil23_80.csv,True,True,754.77
instances\TV\eil30_50.csv,False,True,674.73
instances\TV\eil30_50.csv,True,True,812.95
instances\TV\eil30_66.csv,False,True,705.6
instances\TV\eil30_66.csv,True,True,723.19
instances\TV\eil30_80.csv,False,True,675.11
instances\TV\eil30_80.csv,True,True,722.37
instances\TV\eil33_50.csv,False,True,1025.5
instances\TV\eil33_50.csv,True,True,884.45
instances\TV\eil33_66.csv,False,True,915.16
instances\TV\eil33_66.csv,True,True,906.34
instances\TV\eil33_80.csv,False,False,752.14
instances\TV\eil33_80.csv,True,True,953.73
instances\TV\eil51_50.csv,False,True,698.09
instances\TV\eil51_50.csv,True,True,717.67
instances\TV\eil51_66.csv,False,True,695.04
instances\TV\eil51_66.csv,True,True,658.83
instances\TV\eil51_80.csv,False,True,744.21
instances\TV\eil51_80.csv,True,True,677.98
instances\TV\eilA101_50.csv,False,True,1197.46
instances\TV\eilA101_50.csv,True,True,1154.06
instances\TV\eilA101_66.csv,False,True,1137.9
instances\TV\eilA101_66.csv,True,True,1105.09
instances\TV\eilA101_80.csv,False,False,934.47
instances\TV\eilA101_80.csv,True,False,928.6
instances\TV\eilA76_50.csv,False,True,1015.76
instances\TV\eilA76_50.csv,True,True,1095.36
instances\TV\eilA76_66.csv,False,True,1159.31
instances\TV\eilA76_66.csv,True,True,1101.57
instances\TV\eilA76_80.csv,False,False,898.52
instances\TV\eilA76_80.csv,True,True,1079.39
instances\TV\eilB101_50.csv,False,False,783.71
instances\TV\eilB101_50.csv,True,True,1484.24
instances\TV\eilB101_66.csv,False,False,997.39
instances\TV\eilB101_66.csv,True,False,1124.15
instances\TV\eilB101_80.csv,False,True,1414.52
instances\TV\eilB101_80.csv,True,False,1173.93
instances\TV\eilB76_50.csv,False,True,1254.62
instances\TV\eilB76_50.csv,True,False,764.22
instances\TV\eilB76_66.csv,False,True,1196.34
instances\TV\eilB76_66.csv,True,False,929.5
instances\TV\eilB76_80.csv,False,True,1157.58
instances\TV\eilB76_80.csv,True,True,1301.22
instances\TV\eilC76_50.csv,False,True,967.74
instances\TV\eilC76_50.csv,True,True,979.48
instances\TV\eilC76_66.csv,False,True,1075.16
instances\TV\eilC76_66.csv,True,True,1046.36
instances\TV\eilC76_80.csv,False,True,1060.03
instances\TV\eilC76_80.csv,True,True,972.08
instances\TV\eilD76_50.csv,False,True,929.61
instances\TV\eilD76_50.csv,True,True,999.03
instances\TV\eilD76_66.csv,False,True,1079.87
instances\TV\eilD76_66.csv,True,True,1048.8
instances\TV\eilD76_80.csv,False,True,887.68
instances\TV\eilD76_80.csv,True,True,904.8
instances\GJ\A1.csv,False,True,298715.92
instances\GJ\A1.csv,True,True,287421.75
instances\GJ\A2.csv,False,True,253997.04
instances\GJ\A2.csv,True,True,251023.69
instances\GJ\A3.csv,False,True,219367.39
instances\GJ\A3.csv,True,True,199689.02
instances\GJ\A4.csv,False,True,219367.39
instances\GJ\A4.csv,True,True,182590.09
instances\GJ\B1.csv,False,True,303253.9
instances\GJ\B1.csv,True,False,264433.83
instances\GJ\B2.csv,False,True,253111.98
instances\GJ\B2.csv,True,True,252262.88
instances\GJ\B3.csv,False,True,246157.18
instances\GJ\B3.csv,True,True,216174.83
instances\GJ\C1.csv,False,True,335149.63
instances\GJ\C1.csv,True,True,368191.01
instances\GJ\C2.csv,False,True,312666.35
instances\GJ\C2.csv,True,True,281498.58
instances\GJ\C3.csv,False,True,274552.27
instances\GJ\C3.csv,True,True,252138.85
instances\GJ\C4.csv,False,True,274552.27
instances\GJ\C4.csv,True,True,254364.62
instances\GJ\D1.csv,False,True,422899.86
instances\GJ\D1.csv,True,True,438932.36
instances\GJ\D2.csv,False,True,422899.86
instances\GJ\D2.csv,True,True,439311.55
instances\GJ\D3.csv,False,True,291532.99
instances\GJ\D3.csv,True,True,347618.97
instances\GJ\D4.csv,False,True,266566.55
instances\GJ\D4.csv,True,True,296309.81
instances\GJ\E1.csv,False,True,348791.23
instances\GJ\E1.csv,True,True,314053.84
instances\GJ\E2.csv,False,True,264981.75
instances\GJ\E2.csv,True,True,312785.26
instances\GJ\E3.csv,False,True,278780.83
instances\GJ\E3.csv,True,True,286239.1
instances\GJ\F1.csv,False,True,400125.26
instances\GJ\F1.csv,True,True,432286.79
instances\GJ\F2.csv,False,True,400125.26
instances\GJ\F2.csv,True,True,460768.76
instances\GJ\F3.csv,False,True,361103.26
instances\GJ\F3.csv,True,True,341956.52
instances\GJ\F4.csv,False,True,331938.15
instances\GJ\F4.csv,True,True,341911.96
instances\GJ\G1.csv,False,True,375686.09
instances\GJ\G1.csv,True,True,472855.29
instances\GJ\G2.csv,False,True,358026.4
instances\GJ\G2.csv,True,True,384353.61
instances\GJ\G3.csv,False,True,292364.88
