Inst,Greedy,Feasible,Of
instances\TV\eil22_50.csv,Demand,True,742.25
instances\TV\eil22_50.csv,Distance,True,538.84
instances\TV\eil22_66.csv,Demand,True,743.09
instances\TV\eil22_66.csv,Distance,True,499.25
instances\TV\eil22_80.csv,Demand,True,859.91
instances\TV\eil22_80.csv,Distance,True,488.57
instances\TV\eil23_50.csv,Demand,True,1478.0
instances\TV\eil23_50.csv,Distance,True,806.07
instances\TV\eil23_66.csv,Demand,True,1331.82
instances\TV\eil23_66.csv,Distance,True,682.11
instances\TV\eil23_80.csv,Demand,True,1212.77
instances\TV\eil23_80.csv,Distance,True,819.55
instances\TV\eil30_50.csv,Demand,True,1723.27
instances\TV\eil30_50.csv,Distance,True,674.73
instances\TV\eil30_66.csv,Demand,True,1907.24
instances\TV\eil30_66.csv,Distance,True,705.6
instances\TV\eil30_80.csv,Demand,True,1563.1
instances\TV\eil30_80.csv,Distance,True,675.11
instances\TV\eil33_50.csv,Demand,True,1600.22
instances\TV\eil33_50.csv,Distance,True,1025.5
instances\TV\eil33_66.csv,Demand,True,1603.11
instances\TV\eil33_66.csv,Distance,True,915.16
instances\TV\eil33_80.csv,Demand,True,1477.62
instances\TV\eil33_80.csv,Distance,False,752.14
instances\TV\eil51_50.csv,Demand,True,1723.36
instances\TV\eil51_50.csv,Distance,True,698.09
instances\TV\eil51_66.csv,Demand,True,1768.79
instances\TV\eil51_66.csv,Distance,True,695.04
instances\TV\eil51_80.csv,Demand,True,1631.27
instances\TV\eil51_80.csv,Distance,True,744.21
instances\TV\eilA101_50.csv,Demand,True,3553.43
instances\TV\eilA101_50.csv,Distance,True,1197.46
instances\TV\eilA101_66.csv,Demand,True,3440.43
instances\TV\eilA101_66.csv,Distance,True,1137.9
instances\TV\eilA101_80.csv,Demand,True,3577.27
instances\TV\eilA101_80.csv,Distance,False,934.47
instances\TV\eilA76_50.csv,Demand,True,2587.71
instances\TV\eilA76_50.csv,Distance,True,1015.76
instances\TV\eilA76_66.csv,Demand,True,2928.69
instances\TV\eilA76_66.csv,Distance,True,1159.31
instances\TV\eilA76_80.csv,Demand,True,2830.72
instances\TV\eilA76_80.csv,Distance,False,898.52
instances\TV\eilB101_50.csv,Demand,True,3276.76
instances\TV\eilB101_50.csv,Distance,False,783.71
instances\TV\eilB101_66.csv,Demand,True,3551.82
instances\TV\eilB101_66.csv,Distance,False,997.39
instances\TV\eilB101_80.csv,Demand,True,3684.69
instances\TV\eilB101_80.csv,Distance,True,1414.52
instances\TV\eilB76_50.csv,Demand,True,2576.85
instances\TV\eilB76_50.csv,Distance,True,1254.62
